instancia,alpha,tempMin,tempInicial,semilla,fo_inicial,fo_final,fines_semana_libres,iteraciones_sa
N50-8.txt,0.91,0.05,100000,2109,1288,45,11,1540000
N20-10.txt,0.91,0.05,100000,2109,469,20,5,1540000
N20-1.txt,0.91,0.05,100000,2109,366,16,7,1540000
N30-10.txt,0.91,0.05,100000,2109,378,33,16,1540000
N30-8.txt,0.91,0.05,100000,2109,745,24,7,1540000
N20-9.txt,0.91,0.05,100000,2109,139,15,12,1540000
N10-10.txt,0.91,0.05,100000,2109,204,8,2,1540000
N50-6.txt,0.91,0.05,100000,2109,299,76,36,1540000
N40-6.txt,0.91,0.05,100000,2109,294,43,26,1540000
N10-9.txt,0.91,0.05,100000,2109,200,9,2,1540000
N50-7.txt,0.91,0.05,100000,2109,1287,43,13,1540000
NPlus-1.txt,0.91,0.05,100000,2109,878,43,26,1540000
N10-7.txt,0.91,0.05,100000,2109,158,11,6,1540000
N40-4.txt,0.91,0.05,100000,2109,444,26,21,1540000
NPlus-3.txt,0.91,0.05,100000,2109,1158,47,20,1540000
NPlus-2.txt,0.91,0.05,100000,2109,1325,48,11,1540000
N30-1.txt,0.91,0.05,100000,2109,205,10,22,1540000
N10-6.txt,0.91,0.05,100000,2109,198,8,3,1540000
N30-9.txt,0.91,0.05,100000,2109,746,36,7,1540000
N20-3.txt,0.91,0.05,100000,2109,489,19,4,1540000
N50-4.txt,0.91,0.05,100000,2109,1311,36,14,1540000
N10-8.txt,0.37,0.05,100000,2110,71,19,9,150000
N50-5.txt,0.37,0.05,100000,2110,1312,69,11,150000
N40-5.txt,0.37,0.05,100000,2110,149,29,31,150000
N20-2.txt,0.37,0.05,100000,2110,492,35,4,150000
N30-2.txt,0.37,0.05,100000,2110,771,32,5,150000
N40-8.txt,0.37,0.05,100000,2110,1021,80,8,150000
N50-9.txt,0.37,0.05,100000,2110,1290,52,13,150000
N40-7.txt,0.37,0.05,100000,2110,194,63,33,150000
N50-8.txt,0.37,0.05,100000,2110,1288,64,11,150000
N20-10.txt,0.37,0.05,100000,2110,469,24,3,150000
N20-1.txt,0.37,0.05,100000,2110,366,17,7,150000
N30-10.txt,0.37,0.05,100000,2110,378,42,14,150000
N30-8.txt,0.37,0.05,100000,2110,745,42,7,150000
N20-9.txt,0.37,0.05,100000,2110,139,34,10,150000
N10-10.txt,0.37,0.05,100000,2110,204,12,1,150000
N50-6.txt,0.37,0.05,100000,2110,299,99,35,150000
N40-6.txt,0.37,0.05,100000,2110,294,69,23,150000
N10-9.txt,0.37,0.05,100000,2110,200,13,2,150000
N50-7.txt,0.37,0.05,100000,2110,1287,74,9,150000
NPlus-1.txt,0.37,0.05,100000,2110,878,57,25,150000
N10-7.txt,0.37,0.05,100000,2110,158,19,6,150000
N40-4.txt,0.37,0.05,100000,2110,444,51,21,150000
NPlus-3.txt,0.37,0.05,100000,2110,1158,56,20,150000
NPlus-2.txt,0.37,0.05,100000,2110,1325,67,11,150000
N30-1.txt,0.37,0.05,100000,2110,205,34,20,150000
N10-6.txt,0.37,0.05,100000,2110,198,12,3,150000
N30-9.txt,0.37,0.05,100000,2110,746,45,5,150000
N20-3.txt,0.37,0.05,100000,2110,489,20,4,150000
N50-4.txt,0.37,0.05,100000,2110,1311,46,14,150000
N10-8.txt,0.44,0.05,100000,2111,71,13,9,180000
N50-5.txt,0.44,0.05,100000,2111,1312,43,14,180000
N40-5.txt,0.44,0.05,100000,2111,149,35,29,180000
N20-2.txt,0.44,0.05,100000,2111,492,19,3,180000
N30-2.txt,0.44,0.05,100000,2111,771,27,6,180000
N40-8.txt,0.44,0.05,100000,2111,1021,69,7,180000
N50-9.txt,0.44,0.05,100000,2111,1290,70,11,180000
N40-7.txt,0.44,0.05,100000,2111,194,66,32,180000
N50-8.txt,0.44,0.05,100000,2111,1288,54,12,180000
N20-10.txt,0.44,0.05,100000,2111,469,23,5,180000
N20-1.txt,0.44,0.05,100000,2111,366,18,7,180000
N30-10.txt,0.44,0.05,100000,2111,378,42,16,180000
